,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
614,"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter",3720,Cheese sandwiches (single code),12.34,40.6,2.8,180,0.231,0.288,2.595,0.248,0.42,44,0.1,278,1.7,41,220,754,1.56,303,5.6,16.18,7.917,4.525,2.431,35,2.1,,
615,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, with butter",3720,Cheese sandwiches (single code),12.34,40.6,2.8,180,0.231,0.288,2.595,0.248,0.42,44,0.1,278,1.7,41,220,754,1.56,303,5.6,16.18,7.917,4.525,2.431,35,2.1,,
616,"Cheese sandwich, reduced fat Cheddar cheese, on white bread, with butter",3720,Cheese sandwiches (single code),14.85,37.23,1.2,142,0.271,0.272,2.518,0.214,0.52,65,0.0,387,1.78,24,86,554,2.07,334,2.86,18.26,9.328,4.983,2.763,43,0.3,,
617,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, with butter",3720,Cheese sandwiches (single code),15.87,37.88,2.8,142,0.214,0.258,2.582,0.249,0.52,45,0.1,362,1.68,39,123,547,2.32,331,2.79,18.46,9.276,4.95,2.606,43,0.3,,
618,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with butter",3720,Cheese sandwiches (single code),15.87,37.88,2.8,142,0.214,0.258,2.582,0.249,0.52,45,0.1,362,1.68,39,123,547,2.32,331,2.79,18.46,9.276,4.95,2.606,43,0.3,,
619,"Grilled cheese sandwich, NFS",3720,Cheese sandwiches (single code),10.77,37.52,1.2,187,0.224,0.282,2.527,0.226,0.54,55,0.0,610,2.08,26,170,790,1.26,331,5.03,19.22,9.447,5.11,2.798,44,2.5,,
620,"Grilled cheese sandwich, American cheese, on white bread",3720,Cheese sandwiches (single code),10.77,37.52,1.2,187,0.224,0.282,2.527,0.226,0.54,55,0.0,610,2.08,26,170,790,1.26,331,5.03,19.22,9.447,5.11,2.798,44,2.5,,
621,"Grilled cheese sandwich, American cheese, on wheat bread",3720,Cheese sandwiches (single code),11.79,38.16,2.8,187,0.179,0.268,2.591,0.262,0.54,38,0.1,584,1.98,42,207,782,1.51,327,4.96,19.42,9.395,5.077,2.641,44,2.5,,
622,"Grilled cheese sandwich, American cheese, on whole wheat bread",3720,Cheese sandwiches (single code),11.79,38.16,2.8,187,0.179,0.268,2.591,0.262,0.54,38,0.1,584,1.98,42,207,782,1.51,327,4.96,19.42,9.395,5.077,2.641,44,2.5,,
623,"Grilled cheese sandwich, Cheddar cheese, on white bread",3720,Cheese sandwiches (single code),13.38,34.45,1.2,203,0.22,0.288,2.485,0.207,0.38,56,0.0,368,1.8,24,91,564,1.79,367,2.89,23.18,11.717,5.757,2.867,52,0.4,,
624,"Grilled cheese sandwich, Cheddar cheese, on wheat bread",3720,Cheese sandwiches (single code),14.4,35.09,2.8,203,0.175,0.274,2.548,0.243,0.38,39,0.1,342,1.69,39,128,556,2.04,364,2.82,23.38,11.665,5.723,2.71,52,0.4,,
625,"Grilled cheese sandwich, Cheddar cheese, on whole wheat bread",3720,Cheese sandwiches (single code),14.4,35.09,2.8,203,0.175,0.274,2.548,0.243,0.38,39,0.1,342,1.69,39,128,556,2.04,364,2.82,23.38,11.665,5.723,2.71,52,0.4,,
626,"Grilled cheese sandwich, reduced fat American cheese, on white bread",3720,Cheese sandwiches (single code),11.32,39.95,1.2,180,0.235,0.302,2.531,0.211,0.4,55,0.0,303,1.81,26,183,762,1.32,306,5.67,15.98,7.97,4.558,2.588,35,2.1,,
627,"Grilled cheese sandwich, reduced fat American cheese, on wheat bread",3720,Cheese sandwiches (single code),12.34,40.6,2.8,180,0.189,0.288,2.595,0.246,0.4,38,0.1,278,1.7,41,220,754,1.56,303,5.6,16.18,7.917,4.525,2.431,35,2.1,,
628,"Grilled cheese sandwich, reduced fat American cheese, on whole wheat bread",3720,Cheese sandwiches (single code),12.34,40.6,2.8,180,0.189,0.288,2.595,0.246,0.4,38,0.1,278,1.7,41,220,754,1.56,303,5.6,16.18,7.917,4.525,2.431,35,2.1,,
629,"Grilled cheese sandwich, reduced fat Cheddar cheese, on white bread",3720,Cheese sandwiches (single code),14.85,37.23,1.2,142,0.218,0.272,2.518,0.213,0.5,56,0.0,387,1.78,24,86,554,2.07,334,2.86,18.26,9.328,4.983,2.763,43,0.3,,
630,"Grilled cheese sandwich, reduced fat Cheddar cheese, on wheat bread",3720,Cheese sandwiches (single code),15.87,37.88,2.8,142,0.172,0.258,2.582,0.248,0.5,39,0.1,362,1.68,39,123,547,2.32,331,2.79,18.46,9.276,4.95,2.606,43,0.3,,
631,"Grilled cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread",3720,Cheese sandwiches (single code),15.87,37.88,2.8,142,0.172,0.258,2.582,0.248,0.5,39,0.1,362,1.68,39,123,547,2.32,331,2.79,18.46,9.276,4.95,2.606,43,0.3,,
632,Cheese sauce,8412,"Dips, gravies, other sauces",3.24,74.1,0.3,20,0.076,0.087,0.584,0.013,0.09,17,0.0,74,0.53,6,24,651,0.35,160,0.29,13.02,3.097,5.066,4.339,8,0.1,,
633,Alfredo sauce,8412,"Dips, gravies, other sauces",2.37,79.26,0.0,159,0.008,0.075,0.025,0.015,0.12,2,0.2,67,0.05,5,39,558,0.3,149,0.88,15.12,9.518,3.8,0.64,46,0.5,,
634,Alfredo sauce with added vegetables,8412,"Dips, gravies, other sauces",2.28,82.25,0.3,131,0.021,0.103,0.436,0.053,0.1,7,10.1,54,0.16,7,97,428,0.32,120,1.43,11.64,7.295,2.908,0.524,35,0.4,,
635,Alfredo sauce with meat,8412,"Dips, gravies, other sauces",6.72,74.96,0.0,130,0.015,0.094,0.971,0.08,0.6,3,0.1,59,0.51,7,88,528,1.41,170,0.72,15.44,8.943,4.493,0.613,54,0.4,,
636,Alfredo sauce with meat and added vegetables,8412,"Dips, gravies, other sauces",6.64,77.39,0.3,107,0.026,0.116,1.305,0.111,0.58,7,8.2,49,0.59,9,135,422,1.42,146,1.16,12.61,7.137,3.768,0.519,45,0.3,,
637,Alfredo sauce with poultry,8412,"Dips, gravies, other sauces",7.1,76.53,0.0,132,0.021,0.093,1.735,0.1,0.25,3,0.1,59,0.23,9,85,522,0.61,153,0.72,13.59,8.062,3.544,0.837,54,0.4,,
638,Alfredo sauce with poultry and added vegetables,8412,"Dips, gravies, other sauces",7.03,78.95,0.3,109,0.032,0.116,2.068,0.131,0.23,7,8.2,48,0.32,11,133,416,0.63,130,1.16,10.76,6.256,2.82,0.743,45,0.3,,
639,Alfredo sauce with seafood,8412,"Dips, gravies, other sauces",6.11,77.63,0.0,143,0.009,0.069,0.127,0.015,1.92,3,0.5,74,0.49,10,98,545,0.5,144,0.72,12.56,7.78,3.116,0.614,66,0.4,,
640,Alfredo sauce with seafood and added vegetables,8412,"Dips, gravies, other sauces",6.04,80.05,0.3,120,0.02,0.091,0.461,0.046,1.9,7,8.6,64,0.58,12,145,440,0.52,120,1.16,9.74,5.974,2.391,0.52,57,0.3,,
641,"Mozzarella sticks, breaded, baked, or fried",1602,Cheese,14.75,38.44,2.0,99,0.103,0.261,0.781,0.074,0.96,26,0.0,334,0.62,21,108,861,2.07,325,2.36,18.33,6.848,4.328,4.982,36,0.2,Cheese,Animal
642,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",6432,"Coleslaw, non-lettuce salads",7.17,76.67,0.8,89,0.029,0.113,0.406,0.077,0.46,18,8.6,203,0.31,16,182,209,1.13,139,2.32,10.87,4.18,2.812,2.716,18,0.1,,
643,"Cheddar cheese soup, home recipe, canned or ready-to-serve",3802,Soups,2.06,85.32,1.1,64,0.033,0.121,0.211,0.038,0.26,2,0.1,80,0.08,12,96,369,0.29,66,4.3,2.97,1.814,0.758,0.09,6,0.5,,
644,"Beer cheese soup, made with milk",3802,Soups,6.19,69.88,0.3,182,0.056,0.169,0.541,0.037,0.26,15,0.3,162,0.37,10,67,303,0.88,192,0.8,15.43,9.224,3.659,0.616,45,0.3,,
645,"Meat, NFS",2002,"Beef, excludes ground",29.65,60.52,0.0,1,0.076,0.284,5.739,0.559,2.84,7,0.0,14,2.96,21,336,386,6.85,201,0.0,8.3,3.22,3.876,0.416,89,0.1,,
646,"Meat, baby food, NS as to type, NS as to strained or junior",9008,Baby food: meat and dinners,12.86,79.97,0.0,3,0.014,0.144,2.875,0.12,0.83,6,1.9,34,1.19,12,164,45,1.72,106,0.0,5.21,1.605,2.255,1.04,56,0.4,,
647,"Meat sticks, baby food, NS as to type of meat",9008,Baby food: meat and dinners,13.4,69.5,0.2,21,0.059,0.172,1.481,0.08,0.29,11,2.4,34,1.38,11,114,267,1.9,184,0.8,14.6,5.82,6.48,1.59,70,0.2,,
648,"Ground meat, NFS",2004,Ground beef,25.54,56.32,0.0,3,0.047,0.175,5.07,0.364,2.7,10,0.0,24,2.47,20,302,396,6.2,260,0.0,16.82,6.453,7.497,0.495,87,0.0,Meats,Animal
649,"Beef, NS as to cut, cooked, NS as to fat eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
650,"Beef, NS as to cut, cooked, lean and fat eaten",2002,"Beef, excludes ground",27.06,58.14,0.0,3,0.075,0.215,7.126,0.617,1.94,7,0.0,17,2.26,21,341,382,5.21,235,0.0,13.44,5.576,6.005,0.595,87,0.2,,
651,"Beef, NS as to cut, cooked, lean only eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
652,"Steak, NS as to type of meat, cooked, NS as to fat eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
653,"Steak, NS as to type of meat, cooked, lean and fat eaten",2002,"Beef, excludes ground",27.06,58.14,0.0,3,0.068,0.214,6.687,0.553,1.82,7,0.0,17,2.26,20,326,380,5.21,235,0.0,13.44,5.576,6.005,0.595,87,0.2,,
654,"Steak, NS as to type of meat, cooked, lean only eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
655,"Beef, pickled",2002,"Beef, excludes ground",18.17,59.79,0.0,0,0.026,0.17,3.03,0.23,1.63,6,0.0,8,1.86,12,145,973,4.58,251,0.0,18.98,6.34,9.22,0.67,98,0.1,,
656,"Beef, NS as to cut, fried, NS to fat eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
657,"Beef steak, NS as to cooking method, NS as to fat eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
658,"Beef steak, NS as to cooking method, lean and fat eaten",2002,"Beef, excludes ground",27.06,58.14,0.0,3,0.075,0.215,7.126,0.617,1.94,7,0.0,17,2.26,21,341,382,5.21,235,0.0,13.44,5.576,6.005,0.595,87,0.2,,
659,"Beef steak, NS as to cooking method, lean only eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
660,"Beef steak, broiled or baked, NS as to fat eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
661,"Beef steak, broiled or baked, lean and fat eaten",2002,"Beef, excludes ground",27.06,58.14,0.0,3,0.075,0.215,7.126,0.617,1.94,7,0.0,17,2.26,21,341,382,5.21,235,0.0,13.44,5.576,6.005,0.595,87,0.2,,
662,"Beef steak, broiled or baked, lean only eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
663,"Beef steak, fried, NS as to fat eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
664,"Beef steak, fried, lean and fat eaten",2002,"Beef, excludes ground",27.06,58.14,0.0,3,0.075,0.215,7.126,0.617,1.94,7,0.0,17,2.26,21,341,382,5.21,235,0.0,13.44,5.576,6.005,0.595,87,0.2,,
665,"Beef steak, fried, lean only eaten",2002,"Beef, excludes ground",29.23,62.46,0.0,1,0.082,0.237,7.908,0.676,1.98,8,0.0,16,2.38,23,371,387,5.77,184,0.0,6.75,2.643,2.926,0.333,81,0.1,,
666,"Beef steak, breaded or floured, baked or fried, NS as to fat eaten",2002,"Beef, excludes ground",25.02,49.92,0.7,5,0.161,0.253,6.288,0.361,1.48,15,0.0,52,2.52,18,278,446,3.91,248,1.28,11.03,3.129,4.749,2.602,59,0.2,,
667,"Beef steak, breaded or floured, baked or fried, lean and fat eaten",2002,"Beef, excludes ground",24.39,48.08,0.7,6,0.161,0.246,6.109,0.352,1.45,15,0.0,52,2.51,17,269,446,3.77,268,1.28,13.48,4.241,5.956,2.699,60,0.2,,
668,"Beef steak, breaded or floured, baked or fried, lean only eaten",2002,"Beef, excludes ground",25.02,49.92,0.7,5,0.169,0.253,6.288,0.361,1.48,16,0.0,52,2.52,18,278,446,3.91,248,1.28,11.03,3.129,4.749,2.602,59,0.2,,
669,"Beef steak, battered, fried, NS as to fat eaten",2002,"Beef, excludes ground",21.2,55.73,0.3,28,0.118,0.246,5.07,0.311,1.27,25,0.0,24,2.21,12,218,273,3.28,231,0.07,11.79,3.894,5.18,2.12,124,0.5,,
670,"Beef steak, battered, fried, lean and fat eaten",2002,"Beef, excludes ground",19.86,53.36,0.4,31,0.125,0.241,4.743,0.29,1.19,28,0.0,25,2.2,11,201,365,3.01,252,0.08,14.2,4.86,6.308,2.369,130,0.5,,
671,"Beef steak, battered, fried, lean only eaten",2002,"Beef, excludes ground",20.34,54.8,0.4,30,0.126,0.246,4.882,0.297,1.22,28,0.0,25,2.21,11,208,366,3.13,236,0.08,12.28,3.992,5.365,2.294,129,0.5,,
672,"Beef steak, braised, NS as to fat eaten",2002,"Beef, excludes ground",30.8,54.35,0.0,0,0.079,0.278,2.648,0.288,2.45,6,0.0,13,3.65,23,261,393,10.18,251,0.0,13.19,5.117,5.682,0.436,105,0.2,,
673,"Beef steak, braised, lean and fat eaten",2002,"Beef, excludes ground",30.8,54.35,0.0,0,0.079,0.278,2.648,0.288,2.45,6,0.0,13,3.65,23,261,393,10.18,251,0.0,13.19,5.117,5.682,0.436,105,0.2,,
674,"Beef steak, braised, lean only eaten",2002,"Beef, excludes ground",28.94,64.08,0.0,2,0.033,0.236,4.505,0.263,1.27,3,0.0,14,2.59,10,204,394,4.6,164,0.0,5.34,2.15,2.483,0.375,76,0.1,,
675,"Beef, oxtails, cooked",2002,"Beef, excludes ground",30.8,54.35,0.0,0,0.079,0.278,2.648,0.288,2.45,6,0.0,13,3.65,23,261,393,10.18,251,0.0,13.19,5.117,5.682,0.436,105,0.2,,
676,"Beef, neck bones, cooked",2002,"Beef, excludes ground",29.87,50.03,0.0,0,0.06,0.177,4.237,0.293,2.2,9,0.0,17,2.51,20,240,372,6.92,299,0.0,19.06,7.557,8.207,0.724,119,0.3,,
677,"Beef, shortribs, cooked, NS as to fat eaten",2002,"Beef, excludes ground",30.5,49.74,0.0,0,0.064,0.2,3.181,0.278,3.43,7,0.0,11,3.33,22,310,380,7.74,293,0.0,17.98,7.676,7.914,0.545,92,0.3,,
678,"Beef, shortribs, cooked, lean and fat eaten",2002,"Beef, excludes ground",21.39,35.43,0.0,0,0.05,0.149,2.432,0.218,2.6,5,0.0,12,2.29,15,222,372,4.84,467,0.0,41.63,17.652,18.723,1.517,93,0.7,,
679,"Beef, shortribs, cooked, lean only eaten",2002,"Beef, excludes ground",30.5,49.74,0.0,0,0.064,0.2,3.181,0.278,3.43,7,0.0,11,3.33,22,310,380,7.74,293,0.0,17.98,7.676,7.914,0.545,92,0.3,,
680,"Beef, shortribs, barbecued, with sauce, NS as to fat eaten",2002,"Beef, excludes ground",15.98,38.98,0.3,3,0.044,0.127,1.974,0.184,1.91,4,0.2,19,1.88,15,236,357,3.61,397,10.39,30.81,12.993,13.792,1.147,69,0.5,,
681,"Beef, shortribs, barbecued, with sauce, lean and fat eaten",2002,"Beef, excludes ground",15.98,38.98,0.3,3,0.044,0.127,1.974,0.184,1.91,4,0.2,19,1.88,15,236,357,3.61,397,10.39,30.81,12.993,13.792,1.147,69,0.5,,
682,"Beef, shortribs, barbecued, with sauce, lean only eaten",2002,"Beef, excludes ground",22.68,49.5,0.3,3,0.054,0.164,2.516,0.226,2.52,6,0.2,18,2.65,20,301,363,5.74,269,10.39,13.42,5.658,5.844,0.433,68,0.2,,
683,"Beef, cow head, cooked",2002,"Beef, excludes ground",25.89,56.5,0.0,3,0.067,0.187,5.413,0.474,1.8,7,0.0,13,2.18,20,269,372,5.06,257,0.0,16.45,6.726,7.345,0.727,86,0.2,,
684,"Beef, roast, roasted, NS as to fat eaten",2002,"Beef, excludes ground",28.57,65.31,0.0,1,0.07,0.221,6.408,0.572,1.76,7,0.0,11,2.57,16,304,373,4.61,167,0.0,4.94,1.781,2.048,0.259,75,0.0,,
685,"Beef, roast, roasted, lean and fat eaten",2002,"Beef, excludes ground",29.65,64.03,0.0,4,0.077,0.287,7.863,0.773,2.0,5,0.0,16,2.86,15,381,389,4.5,159,0.0,4.45,1.657,1.902,0.298,76,0.0,,
686,"Beef, roast, roasted, lean only eaten",2002,"Beef, excludes ground",29.13,65.82,0.0,1,0.043,0.248,6.133,0.397,1.51,5,0.0,15,2.35,13,314,417,4.42,150,0.0,3.71,1.368,1.587,0.283,76,0.0,,
687,"Beef, roast, canned",2002,"Beef, excludes ground",27.45,61.56,0.0,0,0.09,0.26,3.59,0.38,2.8,8,0.0,6,2.81,26,367,63,6.67,219,0.0,11.34,4.24,4.68,0.44,82,0.2,,
688,"Beef, pot roast, braised or boiled, NS as to fat eaten",2002,"Beef, excludes ground",30.8,54.35,0.0,0,0.079,0.278,2.648,0.288,2.45,6,0.0,13,3.65,23,261,393,10.18,251,0.0,13.19,5.117,5.682,0.436,105,0.2,,
689,"Beef, pot roast, braised or boiled, lean and fat eaten",2002,"Beef, excludes ground",29.09,64.97,0.0,3,0.035,0.247,4.382,0.274,1.22,3,0.0,13,2.89,10,212,397,4.55,155,0.0,4.34,1.679,1.928,0.303,77,0.0,,
690,"Beef, pot roast, braised or boiled, lean only eaten",2002,"Beef, excludes ground",30.8,54.35,0.0,0,0.079,0.278,2.648,0.288,2.45,6,0.0,13,3.65,23,261,393,10.18,251,0.0,13.19,5.117,5.682,0.436,105,0.2,,
691,"Beef, stew meat, cooked, NS as to fat eaten",2002,"Beef, excludes ground",30.8,54.35,0.0,0,0.079,0.278,2.648,0.288,2.45,6,0.0,13,3.65,23,261,393,10.18,251,0.0,13.19,5.117,5.682,0.436,105,0.2,,
692,"Beef, stew meat, cooked, lean and fat eaten",2002,"Beef, excludes ground",34.05,54.23,0.0,0,0.069,0.238,3.62,0.268,2.6,9,0.0,5,3.13,24,316,367,4.3,236,0.0,10.05,3.749,4.115,0.417,89,0.2,,
693,"Beef, stew meat, cooked, lean only eaten",2002,"Beef, excludes ground",30.8,54.35,0.0,0,0.079,0.278,2.648,0.288,2.45,6,0.0,13,3.65,23,261,393,10.18,251,0.0,13.19,5.117,5.682,0.436,105,0.2,,
694,"Corned beef, cooked, NS as to fat eaten",2602,Cold cuts and cured meats,18.17,59.79,0.0,0,0.026,0.17,3.03,0.23,1.63,6,0.0,8,1.86,12,145,973,4.58,251,0.0,18.98,6.34,9.22,0.67,98,0.1,Meats,Animal
695,"Corned beef, cooked, lean and fat eaten",2602,Cold cuts and cured meats,18.17,59.79,0.0,0,0.026,0.17,3.03,0.23,1.63,6,0.0,8,1.86,12,145,973,4.58,251,0.0,18.98,6.34,9.22,0.67,98,0.1,Meats,Animal
696,"Corned beef, cooked, lean only eaten",2602,Cold cuts and cured meats,27.1,57.72,0.0,0,0.02,0.147,2.43,0.13,1.62,9,0.0,12,2.08,14,136,897,3.57,250,0.0,14.93,6.18,5.96,0.63,86,0.2,Meats,Animal
697,"Corned beef, canned, ready-to-eat",2602,Cold cuts and cured meats,27.1,57.72,0.0,0,0.02,0.147,2.43,0.13,1.62,9,0.0,12,2.08,14,136,897,3.57,250,0.0,14.93,6.18,5.96,0.63,86,0.2,Meats,Animal
698,"Beef brisket, cooked, NS as to fat eaten",2002,"Beef, excludes ground",29.5,57.23,0.0,0,0.069,0.218,3.679,0.288,2.58,8,0.0,6,2.79,23,283,392,6.83,216,0.0,10.0,3.6,4.611,0.298,92,0.2,,
699,"Beef brisket, cooked, lean and fat eaten",2002,"Beef, excludes ground",26.57,51.11,0.0,0,0.069,0.198,3.342,0.268,2.43,7,0.0,7,2.51,21,257,387,5.91,289,0.0,19.36,7.467,8.608,0.664,92,0.3,,
700,"Beef brisket, cooked, lean only eaten",2002,"Beef, excludes ground",29.5,57.23,0.0,0,0.069,0.218,3.679,0.288,2.58,8,0.0,6,2.79,23,283,392,6.83,216,0.0,10.0,3.6,4.611,0.298,92,0.2,,
701,"Beef, sandwich steak, flaked, formed, thinly sliced",2002,"Beef, excludes ground",18.41,53.17,0.0,0,0.056,0.152,2.936,0.184,1.87,6,0.0,8,1.88,16,234,52,4.67,329,0.0,27.81,11.69,11.85,0.992,73,0.4,,
702,"Ground beef, raw",2004,Ground beef,17.44,62.58,0.0,4,0.043,0.151,4.305,0.328,2.15,7,0.0,17,1.97,17,274,66,4.23,247,0.0,19.07,7.291,8.48,0.505,71,0.1,Meats,Animal
703,"Ground beef, cooked",2004,Ground beef,25.54,56.32,0.0,3,0.047,0.175,5.07,0.364,2.7,10,0.0,24,2.47,20,302,396,6.2,260,0.0,16.82,6.453,7.497,0.495,87,0.0,Meats,Animal
704,"Ground beef patty, cooked",2004,Ground beef,25.45,55.2,0.0,3,0.048,0.175,4.919,0.356,2.75,10,0.0,27,2.41,20,294,383,6.17,272,0.0,18.18,6.95,8.194,0.514,87,0.0,Meats,Animal
705,"Beef, bacon, cooked",2604,Bacon,31.3,26.2,0.0,0,0.09,0.26,6.47,0.31,3.45,8,0.0,9,3.14,27,412,1500,6.37,449,0.0,34.4,14.35,16.85,1.58,119,0.2,Meats,Animal
706,"Beef, bacon, reduced sodium, cooked",2604,Bacon,37.04,12.32,0.0,11,0.404,0.264,11.099,0.349,1.23,2,0.0,11,1.44,33,565,1030,3.5,541,0.0,41.78,13.739,18.52,4.548,110,1.0,Meats,Animal
707,"Beef, dried, chipped, uncooked",2602,Cold cuts and cured meats,31.1,53.8,0.0,0,0.065,0.163,5.164,0.386,1.59,10,0.0,8,2.42,19,235,2790,4.93,153,2.7,1.94,0.95,0.84,0.07,79,0.0,Meats,Animal
708,"Beef, dried, chipped, cooked in fat",2602,Cold cuts and cured meats,28.12,48.65,0.0,0,0.059,0.147,4.67,0.349,1.44,9,0.0,7,2.19,17,213,2523,4.47,225,2.44,11.32,4.61,5.075,1.135,81,0.2,Meats,Animal
709,Beef jerky,2602,Cold cuts and cured meats,33.2,23.36,1.8,0,0.154,0.142,1.732,0.179,0.99,134,0.0,20,5.42,51,597,1785,8.11,410,9.0,25.6,10.85,11.305,1.011,48,0.3,Meats,Animal
710,"Beef, baby food, NS as to strained or junior",9008,Baby food: meat and dinners,12.03,82.44,0.0,0,0.013,0.135,2.495,0.039,1.26,8,2.1,5,0.98,11,187,41,2.22,81,0.0,2.52,1.18,0.95,0.16,51,0.4,,
711,"Beef, baby food, strained",9008,Baby food: meat and dinners,12.03,82.44,0.0,0,0.013,0.135,2.495,0.039,1.26,8,2.1,5,0.98,11,187,41,2.22,81,0.0,2.52,1.18,0.95,0.16,51,0.4,,
712,"Beef, baby food, junior",9008,Baby food: meat and dinners,12.03,82.44,0.0,0,0.013,0.135,2.495,0.039,1.26,8,2.1,5,0.98,11,187,41,2.22,81,0.0,2.52,1.18,0.95,0.16,51,0.4,,
713,"Pork, NS as to cut, cooked, NS as to fat eaten",2006,Pork,27.69,59.13,0.0,1,0.565,0.249,8.2,0.558,0.64,0,0.0,8,0.5,31,459,514,1.92,211,0.0,10.5,3.274,5.068,1.578,84,0.5,Meats,Animal
714,"Pork, NS as to cut, cooked, lean and fat eaten",2006,Pork,27.69,59.13,0.0,1,0.565,0.249,8.2,0.558,0.64,0,0.0,8,0.5,31,459,514,1.92,211,0.0,10.5,3.274,5.068,1.578,84,0.5,Meats,Animal
715,"Pork, NS as to cut, cooked, lean only eaten",2006,Pork,29.13,63.43,0.0,0,0.593,0.259,8.607,0.583,0.57,0,0.0,6,0.51,32,486,524,1.98,164,0.0,4.55,1.537,1.931,0.49,81,0.4,Meats,Animal
716,"Pork, NS as to cut, fried, NS as to fat eaten",2006,Pork,27.69,59.13,0.0,1,0.565,0.249,8.2,0.558,0.64,0,0.0,8,0.5,31,459,514,1.92,211,0.0,10.5,3.274,5.068,1.578,84,0.5,Meats,Animal
717,"Pork, NS as to cut, fried, lean and fat eaten",2006,Pork,27.69,59.13,0.0,1,0.565,0.249,8.2,0.558,0.64,0,0.0,8,0.5,31,459,514,1.92,211,0.0,10.5,3.274,5.068,1.578,84,0.5,Meats,Animal
718,"Pork, NS as to cut, fried, lean only eaten",2006,Pork,29.13,63.43,0.0,0,0.593,0.259,8.607,0.583,0.57,0,0.0,6,0.51,32,486,524,1.98,164,0.0,4.55,1.537,1.931,0.49,81,0.4,Meats,Animal
719,"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten",2006,Pork,25.0,44.79,1.0,17,0.588,0.311,7.462,0.456,0.56,19,0.0,51,1.63,34,404,551,1.87,271,1.43,11.21,2.48,4.412,3.399,96,0.5,Meats,Animal
720,"Pork, NS as to cut, breaded or floured, fried, lean and fat eaten",2006,Pork,23.97,41.73,1.0,17,0.567,0.303,7.172,0.437,0.61,19,0.0,53,1.63,33,384,544,1.82,305,1.43,15.44,3.715,6.642,4.172,98,0.6,Meats,Animal
721,"Pork, NS as to cut, breaded or floured, fried, lean only eaten",2006,Pork,25.0,44.79,1.0,17,0.588,0.311,7.462,0.456,0.56,19,0.0,51,1.63,34,404,551,1.87,271,1.43,11.21,2.48,4.412,3.399,96,0.5,Meats,Animal
722,"Pork, pickled, NS as to cut",2006,Pork,11.63,75.0,0.0,11,0.006,0.015,0.22,0.007,0.21,1,0.0,32,0.31,11,13,946,0.2,140,0.0,10.02,2.945,5.677,0.784,83,0.4,Meats,Animal
